route_id,route_short_name,route_long_name,route_type,route_color,route_text_color                                                                     ,download_date
31T0010T1  ,T1  ,Alameda Solano                          -Río Arillo                              ,2,00B700,FFFFFF                                    ,2025-04-06
32T0001C1  ,C1  ,Málaga-Centro Alameda                   -Fuengirola                              ,2,1E9AD6,FFFFFF                                    ,2025-04-06
32T0002C1  ,C1  ,Fuengirola                              -Málaga-Centro Alameda                   ,2,1E9AD6,FFFFFF                                    ,2025-04-06
32T0003C2  ,C2  ,Málaga-Centro Alameda                   -Álora                                   ,2,007D2B,FFFFFF                                    ,2025-04-06
32T0004C2  ,C2  ,Álora                                   -Málaga-Centro Alameda                   ,2,007D2B,FFFFFF                                    ,2025-04-06
32T0005C2  ,C2  ,                                        -                                        ,2,007D2B,FFFFFF                                    ,2025-04-06
32T0006C2  ,C2  ,                                        -                                        ,2,007D2B,FFFFFF                                    ,2025-04-06
32T0007C2  ,C2  ,Álora                                   -                                        ,2,007D2B,FFFFFF                                    ,2025-04-06
32T0008C2  ,C2  ,                                        -Álora                                   ,2,007D2B,FFFFFF                                    ,2025-04-06
40T0001C1  ,C1  ,Valencia Nord                           -Platja i Grau de Gandia                 ,2,7AB3DE,FFFFFF                                    ,2025-04-06
40T0002C1  ,C1  ,Platja i Grau de Gandia                 -Valencia Nord                           ,2,7AB3DE,FFFFFF                                    ,2025-04-06
40T0005C2  ,C2  ,Valencia Nord                           -Moixent                                 ,2,F79529,FFFFFF                                    ,2025-04-06
40T0006C2  ,C2  ,Moixent                                 -Valencia Nord                           ,2,F79529,FFFFFF                                    ,2025-04-06
40T0007C3  ,C3  ,Valencia Nord                           -Utiel                                   ,2,7A2780,FFFFFF                                    ,2025-04-06
40T0008C3  ,C3  ,Utiel                                   -Valencia Nord                           ,2,7A2780,FFFFFF                                    ,2025-04-06
40T0009C4  ,C4  ,Valencia - Sant Isidre                  -Xirivella - L'Alter                     ,2,D4021D,FFFFFF                                    ,2025-04-06
40T0010C4  ,C4  ,Xirivella - L'Alter                     -Valencia - Sant Isidre                  ,2,D4021D,FFFFFF                                    ,2025-04-06
40T0011C5  ,C5  ,Valencia Nord                           -Caudiel                                 ,2,018A27,FFFFFF                                    ,2025-04-06
40T0012C5  ,C5  ,Caudiel                                 -Valencia Nord                           ,2,018A27,FFFFFF                                    ,2025-04-06
40T0013C6  ,C6  ,Valencia Nord                           -Castello de la Plana                    ,2,0D3386,FFFFFF                                    ,2025-04-06
40T0014C6  ,C6  ,Castello de la Plana                    -Valencia Nord                           ,2,0D3386,FFFFFF                                    ,2025-04-06
40T0015C6  ,C6  ,Valencia Nord                           -Castello de la Plana                    ,2,0D3386,FFFFFF                                    ,2025-04-06
40T0016C6  ,C6  ,Castello de la Plana                    -Valencia Nord                           ,2,0D3386,FFFFFF                                    ,2025-04-06
40T0017C3  ,C3  ,Valencia Nord                           -Utiel                                   ,2,7A2780,FFFFFF                                    ,2025-04-06
40T0018C3  ,C3  ,Utiel                                   -Valencia Nord                           ,2,7A2780,FFFFFF                                    ,2025-04-06
40T0019C5  ,C5  ,Valencia Nord                           -Caudiel                                 ,2,018A27,FFFFFF                                    ,2025-04-06
40T0020C5  ,C5  ,Caudiel                                 -Valencia Nord                           ,2,018A27,FFFFFF                                    ,2025-04-06
40T0021C6  ,C6  ,Valencia Nord                           -Castello de la Plana                    ,2,0D3386,FFFFFF                                    ,2025-04-06
40T0022C6  ,C6  ,Castello de la Plana                    -Valencia Nord                           ,2,0D3386,FFFFFF                                    ,2025-04-06
40T0023C2  ,C2  ,Xativa                                  -                                        ,2,F79529,FFFFFF                                    ,2025-04-06
40T0024C2  ,C2  ,                                        -Xativa                                  ,2,F79529,FFFFFF                                    ,2025-04-06
40T0025C3  ,C3  ,Buñol                                   -Valencia - Sant Isidre                  ,2,7A2780,FFFFFF                                    ,2025-04-06
40T0026C3  ,C3  ,Valencia - Sant Isidre                  -Buñol                                   ,2,7A2780,FFFFFF                                    ,2025-04-06
40T0027C1  ,C1  ,Gandia                                  -Sollana                                 ,2,7AB3DE,FFFFFF                                    ,2025-04-06
40T0028C1  ,C1  ,Sollana                                 -Gandia                                  ,2,7AB3DE,FFFFFF                                    ,2025-04-06
40T0029C2  ,C2  ,Benifaio - Almussafes                   -Xativa                                  ,2,F79529,FFFFFF                                    ,2025-04-06
40T0030C2  ,C2  ,Xativa                                  -Benifaio - Almussafes                   ,2,F79529,FFFFFF                                    ,2025-04-06
40T0031C5  ,C5  ,                                        -                                        ,2,018A27,FFFFFF                                    ,2025-04-06
40T0032C5  ,C5  ,                                        -                                        ,2,018A27,FFFFFF                                    ,2025-04-06
41T0001C1  ,C1  ,Murcia del Carmen                       -Alacant Terminal                        ,2,73B6E0,FFFFFF                                    ,2025-04-06
41T0002C1  ,C1  ,Alacant Terminal                        -Murcia del Carmen                       ,2,73B6E0,FFFFFF                                    ,2025-04-06
